passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Pamela Duffy,03/25/2017 8:55:43 AM,03/25/2017 9:09:47 AM,Debit Card,6,3.34,13,2.76,0
Michelle Foster,04/11/2017 2:53:28 PM,04/11/2017 3:19:58 PM,Debit Card,1,1.8,16,4,0
Tina Combs,12/15/2017 7:26:56 AM,12/15/2017 7:34:08 AM,Debit Card,1,1,6.5,1.45,0
Anthony Ray,05/07/2017 1:17:59 PM,05/07/2017 1:48:14 PM,Cash,1,3.7,20.5,6.39,0
Brianna Johnson,04/15/2017 11:32:20 PM,04/15/2017 11:49:03 PM,Debit Card,1,4.37,16.5,0,0
Justin Smith,03/25/2017 8:34:11 PM,03/25/2017 8:42:11 PM,Debit Card,6,2.3,9,2.06,0
Tonya Moreno,05/03/2017 7:04:09 PM,05/03/2017 8:03:47 PM,Cash,1,12.83,47.5,9.86,0
Hannah Foley,08/15/2017 5:41:06 PM,08/15/2017 6:03:05 PM,Debit Card,1,2.98,16,1.78,0
Katie Whitney,02/04/2017 4:17:07 PM,02/04/2017 4:29:14 PM,Cash,1,1.2,9,0,0
Amanda Jones,11/10/2017 3:20:29 PM,11/10/2017 3:40:55 PM,Cash,1,1.6,13,2.75,0
Cory Jensen,03/04/2017 11:58:00 AM,03/04/2017 12:13:12 PM,Cash,1,1.77,11.5,2.46,0
Jamie Brown,03/05/2017 7:15:30 PM,03/05/2017 7:52:18 PM,Debit Card,2,18.9,52,14.58,5.54
Ryan Reyes,06/09/2017 7:00:26 PM,06/09/2017 7:20:11 PM,Debit Card,1,3,15,3.35,0
Jessica Mooney,11/06/2017 11:35:05 PM,11/06/2017 11:42:57 PM,Credit Card,1,2.39,9.5,2.16,0
Heidi May,02/22/2017 3:18:31 PM,02/22/2017 3:42:50 PM,Cash,1,3.3,17.5,4.55,0
Anthony Richard,06/02/2017 6:41:39 AM,06/02/2017 6:57:47 AM,Credit Card,1,5.93,19,3,0
Sarah Gross,08/15/2017 7:48:08 PM,08/15/2017 8:00:37 PM,Cash,1,3.6,12.5,2.85,0
Sarah Gross,08/15/2017 7:48:08 PM,08/15/2017 8:00:37 PM,Cash,1,3.6,12.5,2.85,0
Susan Robinson,07/10/2017 1:36:31 PM,07/10/2017 1:48:43 PM,Cash,2,1.71,9.5,0,0
Cynthia Mendoza,04/10/2017 6:12:58 PM,04/10/2017 6:17:39 PM,Cash,2,0.63,5,0,0
Zachary James,03/05/2017 4:01:07 AM,03/05/2017 4:14:11 AM,Credit Card,2,2.77,11.5,3.2,0
Marissa Scott,12/30/2017 11:52:44 PM,12/30/2017 11:58:57 PM,Debit Card,1,1.1,6.5,0,0
